run_id,dataset,backend,npoints,arm,repeat,k,budget,status,solve_time_s,simplex_iters,barrier_iters,dobj,gurobi_maxmem_gb
local,small,highs,5,cold_barrier,1,1,3810.7441,OPTIMAL,0.0974,0,31,21.370651,NaN
local,small,highs,5,cold_barrier,1,2,3885.4645,OPTIMAL,0.0749,0,23,17.900159,NaN
local,small,highs,5,cold_barrier,1,3,3960.185,OPTIMAL,0.0622,0,18,14.961082,NaN
local,small,highs,5,cold_barrier,1,4,4034.9055,OPTIMAL,0.0673,0,20,12.259568,NaN
local,small,highs,5,cold_barrier,1,5,4109.6259,OPTIMAL,0.0590,0,19,9.8130377,NaN
local,small,highs,5,cold_barrier,2,1,3810.7441,OPTIMAL,0.0897,0,31,21.370651,NaN
local,small,highs,5,cold_barrier,2,2,3885.4645,OPTIMAL,0.0673,0,23,17.900159,NaN
local,small,highs,5,cold_barrier,2,3,3960.185,OPTIMAL,0.0557,0,18,14.961082,NaN
local,small,highs,5,cold_barrier,2,4,4034.9055,OPTIMAL,0.0672,0,20,12.259568,NaN
local,small,highs,5,cold_barrier,2,5,4109.6259,OPTIMAL,0.0597,0,19,9.8130377,NaN
local,small,highs,5,warm_simplex,1,1,3810.7441,OPTIMAL,0.1509,0,36,21.370651,NaN
local,small,highs,5,warm_simplex,1,2,3885.4645,OPTIMAL,0.0055,39,0,17.900159,NaN
local,small,highs,5,warm_simplex,1,3,3960.185,OPTIMAL,0.0014,17,0,14.961082,NaN
local,small,highs,5,warm_simplex,1,4,4034.9055,OPTIMAL,0.0017,22,0,12.259568,NaN
local,small,highs,5,warm_simplex,1,5,4109.6259,OPTIMAL,0.0012,16,0,9.8130377,NaN
local,small,highs,5,warm_simplex,2,1,3810.7441,OPTIMAL,0.1514,0,36,21.370651,NaN
local,small,highs,5,warm_simplex,2,2,3885.4645,OPTIMAL,0.0054,39,0,17.900159,NaN
local,small,highs,5,warm_simplex,2,3,3960.185,OPTIMAL,0.0013,17,0,14.961082,NaN
local,small,highs,5,warm_simplex,2,4,4034.9055,OPTIMAL,0.0017,22,0,12.259568,NaN
local,small,highs,5,warm_simplex,2,5,4109.6259,OPTIMAL,0.0012,16,0,9.8130377,NaN
local,small,highs,5,cold_simplex,1,1,3810.7441,OPTIMAL,0.0244,830,0,21.370651,NaN
local,small,highs,5,cold_simplex,1,2,3885.4645,OPTIMAL,0.0232,811,0,17.900159,NaN
local,small,highs,5,cold_simplex,1,3,3960.185,OPTIMAL,0.0232,826,0,14.961082,NaN
local,small,highs,5,cold_simplex,1,4,4034.9055,OPTIMAL,0.0209,775,0,12.259568,NaN
local,small,highs,5,cold_simplex,1,5,4109.6259,OPTIMAL,0.0215,814,0,9.8130377,NaN
local,small,highs,5,cold_simplex,2,1,3810.7441,OPTIMAL,0.0236,830,0,21.370651,NaN
local,small,highs,5,cold_simplex,2,2,3885.4645,OPTIMAL,0.0227,811,0,17.900159,NaN
local,small,highs,5,cold_simplex,2,3,3960.185,OPTIMAL,0.0233,826,0,14.961082,NaN
local,small,highs,5,cold_simplex,2,4,4034.9055,OPTIMAL,0.0207,775,0,12.259568,NaN
local,small,highs,5,cold_simplex,2,5,4109.6259,OPTIMAL,0.0216,814,0,9.8130377,NaN
local,small,highs,25,cold_barrier,1,1,3750.9677,OPTIMAL,0.0783,0,28,25.992666,NaN
local,small,highs,25,cold_barrier,1,2,3765.9118,OPTIMAL,0.0650,0,23,24.586532,NaN
local,small,highs,25,cold_barrier,1,3,3780.8559,OPTIMAL,0.0787,0,29,23.367034,NaN
local,small,highs,25,cold_barrier,1,4,3795.8,OPTIMAL,0.0767,0,28,22.314989,NaN
local,small,highs,25,cold_barrier,1,5,3810.7441,OPTIMAL,0.0849,0,31,21.370651,NaN
local,small,highs,25,cold_barrier,1,6,3825.6881,OPTIMAL,0.0751,0,27,20.573564,NaN
