method,budget,cost,dobj,infeas,iters,solve_time
ALM,1.59398e+11,1.59398e+11,395.621,0.000e+00,0,0.0000
ALM,1.62586e+11,1.60342e+11,394.446,4.080e-08,15,801.0939
ALM,1.66909e+11,1.60345e+11,394.341,7.980e-07,14,501.6024
ALM,1.75338e+11,1.60356e+11,394.247,6.824e-07,13,463.5481
PDHG,1.59398e+11,1.59398e+11,395.621,0.000e+00,0,0.0000
PDHG,1.62586e+11,1.59398e+11,395.62,8.943e-07,40000,1100.4986
PDHG,1.67094e+11,1.59399e+11,395.619,7.478e-07,40000,1062.3443
PDHG,1.72379e+11,1.59399e+11,395.618,8.733e-07,40000,1049.7262
PDHG,1.75338e+11,1.594e+11,395.617,9.684e-07,40000,1052.1583
IPM,1.62586e+11,1.62586e+11,278.595,0.000e+00,0,262.6190
IPM,1.66909e+11,1.66909e+11,230.97,0.000e+00,0,268.6630
IPM,1.75338e+11,1.75338e+11,185.782,0.000e+00,0,230.9600
