sweep,cost,dobj
dense,2.443245458394816e8,201.29235248022445
dense,2.4443616052465266e8,200.07749692127626
dense,2.4454777520982373e8,198.90594121111184
dense,2.4465938989499485e8,197.75780235243826
dense,2.447710045801659e8,196.63513079775254
dense,2.4488261926533693e8,195.55800750088855
dense,2.4499423395050806e8,194.51882381454064
dense,2.451058486356792e8,193.4959730497256
dense,2.452174633208503e8,192.47494647667102
dense,2.4532907800602132e8,191.4789505801897
dense,2.454406926911924e8,190.50804625610536
dense,2.455523073763634e8,189.54634376960544
dense,2.456639220615345e8,188.58611357768154
dense,2.4577553674670553e8,187.62718133133433
dense,2.4588715143187663e8,186.6695000653496
dense,2.4599876611704773e8,185.73428760487434
dense,2.4611038080221882e8,184.81152548900837
dense,2.462219954873899e8,183.90454033950104
dense,2.4633361017256087e8,183.01147507427913
dense,2.46445224857732e8,182.1294611416551
dense,2.46556839542903e8,181.26654163955203
dense,2.4666845422807413e8,180.41214445723512
dense,2.467800689132453e8,179.5577472749183
dense,2.4689168359841633e8,178.70335009260174
dense,2.470032982835874e8,177.8489529102852
dense,2.471149129687584e8,176.9954015680994
dense,2.4722652765392953e8,176.14629977494786
dense,2.473381423391006e8,175.29752460848948
dense,2.4744975702427167e8,174.44897492216177
dense,2.4756137170944273e8,173.60078114342667
dense,2.4767298639461374e8,172.7551556648687
dense,2.477846010797849e8,171.91258751790974
dense,2.4789621576495582e8,171.07409029662796
dense,2.4800783045012695e8,170.24217996322056
dense,2.4811944513529807e8,169.42036034727641
dense,2.4823105982046926e8,168.60504795935256
dense,2.4834267450564018e8,167.80077491984343
dense,2.484542891908114e8,166.99881365874634
dense,2.4856590387598246e8,166.20111388965375
dense,2.486775185611534e8,165.40667645594533
dense,2.4878913324632448e8,164.61482676387203
dense,2.489007479314955e8,163.83019755549594
dense,2.4901236261666662e8,163.04637096079114
dense,2.4912397730183786e8,162.26552998205224
dense,2.492355919870089e8,161.48714111745292
dense,2.4934720667218e8,160.71001592112478
dense,2.49458821357351e8,159.93395835974547
dense,2.4957043604252198e8,159.15955488926207
dense,2.496820507276932e8,158.38883047524382
dense,2.497936654128643e8,157.61975995565146
dense,2.499052800980354e8,156.85112301528255
dense,2.500168947832064e8,156.0829153949067
dense,2.5012850946837753e8,155.31500208395084
dense,2.5024012415354848e8,154.5504407286145
dense,2.5035173883871952e8,153.79243548379617
dense,2.5046335352389064e8,153.03450457470313
dense,2.505749682090618e8,152.27657366561021
dense,2.506865828942328e8,151.51864307054257
dense,2.5079819757940376e8,150.76292928280384
dense,2.5090981226457497e8,150.0256922884292
dense,2.5102142694974595e8,149.31612828888132
dense,2.5113304163491696e8,148.6216818530006
dense,2.5124465632008788e8,147.9403366350332
dense,2.5135627100525898e8,147.27532049989418
dense,2.5146788569043005e8,146.64241977680075
dense,2.51579500375601e8,146.01796084103847
dense,2.5169111506077206e8,145.39940322739426
dense,2.5180272974594367e8,144.78987677570223
dense,2.519143444311147e8,144.18310366660896
dense,2.5202595911628586e8,143.5857135800457
dense,2.5213757380145675e8,142.99490670876145
dense,2.522491884866274e8,142.42394292168996
dense,2.523608031717986e8,141.87385989983474
dense,2.5247241785696965e8,141.3376596400107
dense,2.525840325421406e8,140.81809984040973
dense,2.526956472273118e8,140.31582816736358
dense,2.5280726191248283e8,139.82848083751247
dense,2.5291887659765393e8,139.3565981962311
dense,2.5303049128282487e8,138.8860187448188
dense,2.531421059679961e8,138.41706516783145
dense,2.5325372065316707e8,137.94926955999173
dense,2.533653353383382e8,137.4830136298377
dense,2.534769500235092e8,137.01791634497326
dense,2.5358856470868042e8,136.55351088955348
dense,2.5370017939385152e8,136.09113956611745
dense,2.538117940790225e8,135.62978067698614
dense,2.5392340876419353e8,135.1684217878553
dense,2.540350234493648e8,134.70706289872444
dense,2.5414663813453564e8,134.2457040095934
dense,2.542582528197068e8,133.78434623744886
dense,2.5436986750487792e8,133.32504722837393
dense,2.5448148219004893e8,132.8662196196025
dense,2.5459309687522006e8,132.40813444086518
dense,2.5470471156039113e8,131.95145866053977
dense,2.5481632624556214e8,131.49483587745527
dense,2.5492794093073308e8,131.04398089040208
dense,2.550395556159045e8,130.6139321694095
dense,2.5515117030107558e8,130.196874467609
dense,2.5526278498624673e8,129.78667444505254
dense,2.5537439967141777e8,129.38743476811126
dense,2.5548601435658872e8,128.99888760931188
dense,2.5559762904175988e8,128.61491390080826
dense,2.5570924372693083e8,128.24368590976607
dense,2.5582085841210204e8,127.8794951692409
dense,2.559324730972732e8,127.5179333157837
dense,2.560440877824444e8,127.16789701152985
dense,2.5615570246761495e8,126.82664711148304
dense,2.5626731715278596e8,126.48989913997701
dense,2.5637893183795702e8,126.16010392144298
dense,2.5649054652312812e8,125.83462594364232
dense,2.5660216120829922e8,125.51311371437495
dense,2.567137758934702e8,125.1963874768076
dense,2.568253905786413e8,124.89073551286778
dense,2.5693700526381236e8,124.58801790121464
dense,2.5704861994898367e8,124.29004283722102
dense,2.5716023463415468e8,123.99526153981981
dense,2.5727184931932572e8,123.70112810677475
dense,2.573834640044968e8,123.41133059544278
dense,2.5749507868966788e8,123.1231539713124
