T,nvars,op_struct_ratio,struct_frac_pct,method,time_s,iters,infeas,miss_pct,dominated
4,62,9.333,9.6774,penalty,0.626,11,1.435e-07,0.00000,no
4,62,9.333,9.6774,alm_lbfgs,0.208,7,1.884e-08,0.00000,no
4,62,9.333,9.6774,pdhg,0.091,6144,1.385e-07,0.00050,no
4,62,9.333,9.6774,scs,0.050,0,2.373e-08,0.00000,no
8,118,18.667,5.0847,penalty,0.008,4,4.109e-07,0.00000,no
8,118,18.667,5.0847,alm_lbfgs,0.007,6,9.328e-07,0.00000,no
8,118,18.667,5.0847,pdhg,0.113,6912,1.076e-09,0.00000,no
8,118,18.667,5.0847,scs,0.008,0,1.088e-08,0.00000,no
16,230,37.333,2.6087,penalty,0.190,10,7.091e-07,0.00000,no
16,230,37.333,2.6087,alm_lbfgs,0.562,13,3.277e-09,0.00000,no
16,230,37.333,2.6087,pdhg,0.343,20000,5.245e-04,0.08031,no
16,230,37.333,2.6087,scs,0.689,0,5.659e-07,0.00000,no
32,454,74.667,1.3216,penalty,0.250,10,1.295e-06,0.03741,no
32,454,74.667,1.3216,alm_lbfgs,0.108,10,1.361e-07,0.00000,yes
32,454,74.667,1.3216,pdhg,0.382,20000,2.103e-05,0.01271,no
32,454,74.667,1.3216,scs,0.183,0,4.438e-07,0.00000,yes
64,902,149.333,0.6652,penalty,0.394,11,2.022e-07,0.07587,no
64,902,149.333,0.6652,alm_lbfgs,0.228,9,8.337e-07,0.00001,no
64,902,149.333,0.6652,pdhg,0.449,20000,5.655e-04,8.42571,no
64,902,149.333,0.6652,scs,1.278,0,2.186e-06,0.00000,no
128,1798,298.667,0.3337,penalty,0.590,10,1.906e-06,0.02091,no
128,1798,298.667,0.3337,alm_lbfgs,2.272,11,3.968e-07,0.00000,no
128,1798,298.667,0.3337,pdhg,0.808,20000,1.545e-03,2.31214,no
128,1798,298.667,0.3337,scs,2.698,0,2.157e-05,0.00001,no
256,3590,597.333,0.1671,penalty,1.985,11,2.987e-07,0.02285,no
256,3590,597.333,0.1671,alm_lbfgs,1.486,11,1.338e-06,0.00001,no
256,3590,597.333,0.1671,pdhg,1.294,20000,4.038e-03,11.78166,no
256,3590,597.333,0.1671,scs,26.076,0,1.260e-04,0.00001,no
