case,method,point,budget,cost,dobj,infeas,iters,time_s
Norse,alm_lbfgs,1,2.42305e+08,2.42305e+08,257.595,0.00e+00,0,0.0000
Norse,alm_lbfgs,2,2.47151e+08,2.4297e+08,256.856,2.88e-01,6,1.0257
Norse,alm_lbfgs,3,2.53941e+08,2.43445e+08,256.152,3.16e-01,8,0.8941
Norse,alm_lbfgs,4,2.62109e+08,2.43789e+08,255.6,3.39e-01,9,1.3752
Norse,alm_lbfgs,5,2.66536e+08,2.44081e+08,255.159,3.40e-01,8,1.1239
Norse,penalty,1,2.42305e+08,2.42305e+08,257.595,0.00e+00,0,0.0000
Norse,penalty,2,2.47151e+08,2.42682e+08,257.063,2.64e-01,6,0.8936
Norse,penalty,3,2.53984e+08,2.42987e+08,256.626,3.53e-01,6,1.1269
Norse,penalty,4,2.62857e+08,2.43264e+08,256.36,2.66e-01,8,1.1029
Norse,penalty,5,2.66536e+08,2.43366e+08,256.098,3.17e-01,7,0.9899
Norse,pdhg,1,2.42305e+08,2.42305e+08,257.595,0.00e+00,0,0.0000
Norse,pdhg,2,2.47151e+08,2.42305e+08,257.586,1.07e-02,10000,1.5727
Norse,pdhg,3,2.54005e+08,2.42305e+08,257.577,1.90e-02,10000,1.0924
Norse,pdhg,4,2.62391e+08,2.42305e+08,257.57,2.44e-02,10000,1.1030
Norse,pdhg,5,2.66536e+08,2.42306e+08,257.565,2.57e-02,10000,1.1064
Norse,scs,1,2.47151e+08,2.47166e+08,49.3403,NaN,0,0.0000
Norse,scs,2,2.51998e+08,2.52001e+08,51.0878,NaN,0,0.0000
Norse,scs,3,2.56844e+08,2.56854e+08,54.0802,NaN,0,0.0000
Norse,scs,4,2.6169e+08,2.61701e+08,56.6148,NaN,0,0.0000
Norse,scs,5,2.66536e+08,2.66545e+08,58.611,NaN,0,0.0000
