case,method,point,budget,cost,dobj,infeas,iters,time_s
Tiny,alm_lbfgs,1,267872,267872,56.1384,0.00e+00,0,0.0000
Tiny,alm_lbfgs,2,271220,271220,25.7487,1.51e-06,12,0.2359
Tiny,alm_lbfgs,3,274568,274568,20.0831,1.62e-05,5,0.0888
Tiny,alm_lbfgs,4,279086,279086,18.2994,7.65e-07,5,0.0832
Tiny,alm_lbfgs,5,283789,283789,17.3134,7.75e-06,4,0.0715
Tiny,alm_lbfgs,6,288507,288507,16.4501,1.27e-06,5,0.0980
Tiny,alm_lbfgs,7,293221,293221,15.6799,1.15e-06,4,0.0760
Tiny,alm_lbfgs,8,294659,294659,15.4856,1.70e-05,4,0.0530
Tiny,penalty,1,267872,267872,56.1384,0.00e+00,0,0.0000
Tiny,penalty,2,271220,271220,27.5333,1.02e-05,7,0.1294
Tiny,penalty,3,274568,274568,20.3192,6.29e-06,6,0.1393
Tiny,penalty,4,278961,278961,18.4298,4.05e-06,6,0.1188
Tiny,penalty,5,283659,283659,17.4325,2.75e-05,5,0.1020
Tiny,penalty,6,288376,288376,16.5564,2.72e-05,5,0.1066
Tiny,penalty,7,293090,293090,15.7862,3.91e-05,5,0.1028
Tiny,penalty,8,294659,294659,15.5433,2.12e-05,5,0.1045
Tiny,pdhg,1,267872,267872,56.1384,0.00e+00,0,0.0000
Tiny,pdhg,2,271220,270251,52.7194,1.59e-11,10000,0.8759
Tiny,pdhg,3,275080,272017,50.1993,9.93e-06,10000,0.3207
Tiny,pdhg,4,280255,273833,47.693,1.69e-12,10000,0.2970
Tiny,pdhg,5,286234,275647,45.189,6.82e-13,10000,0.2943
Tiny,pdhg,6,292423,277464,42.6803,4.55e-13,10000,0.2832
Tiny,pdhg,7,294659,279284,40.168,6.82e-13,10000,0.2594
Tiny,scs,1,271220,271220,25.743,NaN,0,0.0000
Tiny,scs,2,274568,274568,20.0831,NaN,0,0.0000
Tiny,scs,3,277917,277917,18.5767,NaN,0,0.0000
Tiny,scs,4,281265,281265,17.8047,NaN,0,0.0000
Tiny,scs,5,284614,284614,17.1625,NaN,0,0.0000
Tiny,scs,6,287962,287962,16.5498,NaN,0,0.0000
Tiny,scs,7,291310,291310,15.9639,NaN,0,0.0000
Tiny,scs,8,294659,294659,15.4856,NaN,0,0.0000
