case,method,point,budget,cost,dobj,infeas,iters,time_s
synth,alm_lbfgs,1,2565.31,2565.31,22.1398,0.00e+00,0,0.0000
synth,alm_lbfgs,2,2597.38,2597.38,14.233,1.79e-08,15,0.2565
synth,alm_lbfgs,3,2629.44,2629.44,11.3407,1.33e-07,8,0.2213
synth,alm_lbfgs,4,2669.42,2669.42,9.09647,8.76e-08,8,0.2295
synth,alm_lbfgs,5,2710.8,2710.8,6.98343,8.06e-07,8,0.1006
synth,alm_lbfgs,6,2751.52,2751.52,5.01084,2.16e-08,8,0.1148
synth,alm_lbfgs,7,2791.65,2791.65,3.388,6.58e-08,13,0.2173
synth,alm_lbfgs,8,2821.84,2821.84,2.55626,4.63e-07,11,0.1845
synth,penalty,1,2565.31,2565.31,22.1398,0.00e+00,0,0.0000
synth,penalty,2,2597.38,2597.38,14.3226,1.40e-07,9,0.1549
synth,penalty,3,2629.44,2629.44,11.4793,7.81e-07,8,0.1348
synth,penalty,4,2669.45,2669.45,9.23774,9.33e-07,8,0.1287
synth,penalty,5,2710.77,2710.77,7.199,6.02e-08,9,0.1504
synth,penalty,6,2751.65,2751.65,5.34052,9.77e-07,8,0.1355
synth,penalty,7,2792.14,2792.14,3.8522,4.81e-07,8,0.1370
synth,penalty,8,2821.84,2821.84,2.65674,4.83e-07,8,0.2741
synth,pdhg,1,2565.31,2565.31,22.1398,0.00e+00,0,0.0000
synth,pdhg,2,2597.38,2598,14.1366,1.64e-02,10000,0.6434
synth,pdhg,3,2629.13,2629.15,11.4068,4.82e-04,10000,0.2346
synth,pdhg,4,2670.13,2670.18,9.06103,1.22e-03,10000,0.2024
synth,pdhg,5,2711.33,2711.34,6.98555,2.60e-04,10000,0.2030
synth,pdhg,6,2752.16,2752.14,5.05864,7.43e-06,10000,0.1962
synth,pdhg,7,2792.47,2792.49,3.36657,5.82e-04,10000,0.1991
synth,pdhg,8,2821.84,2821.76,2.49243,2.22e-05,10000,0.2024
synth,scs,1,2597.38,2597.38,14.2313,NaN,0,0.0000
synth,scs,2,2629.44,2629.44,11.3407,NaN,0,0.0000
synth,scs,3,2661.51,2661.51,9.51945,NaN,0,0.0000
synth,scs,4,2693.57,2693.57,7.85899,NaN,0,0.0000
synth,scs,5,2725.64,2725.64,6.24761,NaN,0,0.0000
synth,scs,6,2757.71,2757.71,4.73619,NaN,0,0.0000
synth,scs,7,2789.77,2789.77,3.45774,NaN,0,0.0000
synth,scs,8,2821.84,2821.84,2.46785,NaN,0,0.0000
