run_id,dataset,backend,n_alt,arm,repeat,base_solve_time_s,switch_time_s,spores_total_s,spores_per_alt_avg_s,min_cost,final_diversity_l2
norsetest,Norse,highs,2,barrier,1,45.9830,4.5690,10.0567,5.0284,2.42305e+08,4907.7
norsetest,Norse,highs,2,barrier,2,6.1880,4.3540,8.1663,4.0831,2.42305e+08,4907.7
norsetest,Norse,highs,2,barrier,3,6.7200,4.5050,8.1299,4.0649,2.42305e+08,4907.7
norsetest,Norse,highs,2,warm_primal_simplex,1,6.3010,0.0210,1.1651,0.5825,2.42305e+08,4907.7
norsetest,Norse,highs,2,warm_primal_simplex,2,6.5980,0.0220,1.1836,0.5918,2.42305e+08,4907.7
norsetest,Norse,highs,2,warm_primal_simplex,3,6.8730,0.0220,1.1689,0.5845,2.42305e+08,4907.7
norsetest,Norse,highs,5,barrier,1,6.5840,4.5570,26.6525,5.3305,2.42305e+08,4907.69
norsetest,Norse,highs,5,barrier,2,7.1700,4.7600,26.9164,5.3833,2.42305e+08,4907.69
norsetest,Norse,highs,5,barrier,3,6.2360,4.4660,27.4899,5.4980,2.42305e+08,4907.69
norsetest,Norse,highs,5,warm_primal_simplex,1,6.2630,0.0270,1.3839,0.2768,2.42305e+08,4907.69
norsetest,Norse,highs,5,warm_primal_simplex,2,6.4620,0.0220,1.3856,0.2771,2.42305e+08,4907.69
norsetest,Norse,highs,5,warm_primal_simplex,3,6.3930,0.0200,1.6604,0.3321,2.42305e+08,4907.69
norsetest,Norse,highs,10,barrier,1,6.9120,4.8200,53.4519,5.3452,2.42305e+08,4907.68
norsetest,Norse,highs,10,barrier,2,6.5200,4.4840,54.7116,5.4712,2.42305e+08,4907.68
norsetest,Norse,highs,10,barrier,3,7.1510,4.7740,54.9924,5.4992,2.42305e+08,4907.68
norsetest,Norse,highs,10,warm_primal_simplex,1,6.4810,0.0230,1.5267,0.1527,2.42305e+08,4907.68
norsetest,Norse,highs,10,warm_primal_simplex,2,6.8240,0.0260,1.4747,0.1475,2.42305e+08,4907.68
norsetest,Norse,highs,10,warm_primal_simplex,3,7.0540,0.0310,1.5423,0.1542,2.42305e+08,4907.68
