run_id,dataset,backend,n_alt,arm,repeat,idx,solve_time_s,simplex_iterations,barrier_iterations,status
norse_fixed_gurobi,Norse,gurobi,2,barrier,1,1,0.4920,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,2,barrier,1,2,0.5390,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,2,barrier,2,1,0.5020,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,2,barrier,2,2,0.5570,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,2,barrier,3,1,0.5100,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,2,barrier,3,2,0.5250,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,2,warm_primal_simplex,1,1,0.5130,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,2,warm_primal_simplex,1,2,0.0270,53,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,2,warm_primal_simplex,2,1,0.5210,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,2,warm_primal_simplex,2,2,0.0270,53,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,2,warm_primal_simplex,3,1,0.5150,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,2,warm_primal_simplex,3,2,0.0250,53,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,1,1,0.5190,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,1,2,0.5420,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,1,3,0.4740,1220,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,1,4,0.4860,1169,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,1,5,0.5080,1286,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,2,1,0.5110,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,2,2,0.5490,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,2,3,0.4780,1220,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,2,4,0.4520,1169,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,2,5,0.5420,1286,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,3,1,0.5100,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,3,2,0.5470,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,3,3,0.4830,1220,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,3,4,0.4500,1169,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,barrier,3,5,0.4940,1286,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,1,1,0.5130,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,1,2,0.0290,53,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,1,3,0.0160,41,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,1,4,0.0130,17,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,1,5,0.0320,48,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,2,1,0.5160,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,2,2,0.0240,53,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,2,3,0.0200,41,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,2,4,0.0130,17,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,2,5,0.0230,48,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,3,1,0.5320,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,3,2,0.0260,53,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,3,3,0.0210,41,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,3,4,0.0120,17,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,3,5,0.0220,48,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,1,1,0.5170,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,1,2,0.5400,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,1,3,0.4980,1220,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,1,4,0.4790,1169,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,1,5,0.5100,1286,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,1,6,0.4620,1321,47,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,1,7,0.4750,1296,46,OPTIMAL
