run_id,dataset,backend,n_alt,arm,repeat,base_solve_time_s,spores_total_s,spores_per_alt_avg_s,total_simplex_iters,total_barrier_iters,min_cost,final_diversity_l2
norse_fixed_gurobi,Norse,gurobi,2,barrier,1,29.8700,4.7796,2.3898,3597,103,2.42305e+08,4907.7
norse_fixed_gurobi,Norse,gurobi,2,barrier,2,1.7230,1.1118,0.5559,3597,103,2.42305e+08,4907.7
norse_fixed_gurobi,Norse,gurobi,2,barrier,3,1.6570,1.0812,0.5406,3597,103,2.42305e+08,4907.7
norse_fixed_gurobi,Norse,gurobi,2,warm_primal_simplex,1,1.8340,0.7024,0.3512,1633,54,2.42305e+08,4907.7
norse_fixed_gurobi,Norse,gurobi,2,warm_primal_simplex,2,1.7490,0.5972,0.2986,1633,54,2.42305e+08,4907.7
norse_fixed_gurobi,Norse,gurobi,2,warm_primal_simplex,3,1.8320,0.5842,0.2921,1633,54,2.42305e+08,4907.7
norse_fixed_gurobi,Norse,gurobi,5,barrier,1,1.7420,2.6463,0.5293,7272,248,2.42305e+08,4907.69
norse_fixed_gurobi,Norse,gurobi,5,barrier,2,1.6510,2.7178,0.5436,7272,248,2.42305e+08,4907.69
norse_fixed_gurobi,Norse,gurobi,5,barrier,3,1.6960,2.6461,0.5292,7272,248,2.42305e+08,4907.69
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,1,1.6870,0.7662,0.1532,1739,54,2.42305e+08,4907.69
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,2,1.7100,0.6976,0.1395,1739,54,2.42305e+08,4907.69
norse_fixed_gurobi,Norse,gurobi,5,warm_primal_simplex,3,1.8360,0.7047,0.1409,1739,54,2.42305e+08,4907.69
norse_fixed_gurobi,Norse,gurobi,10,barrier,1,2.0980,5.2857,0.5286,14295,489,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,10,barrier,2,1.7900,5.2502,0.5250,14295,489,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,10,barrier,3,1.7840,5.1556,0.5156,14295,489,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,1,1.7770,0.8631,0.0863,1812,54,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,2,1.7150,0.8417,0.0842,1812,54,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,3,1.7470,0.9112,0.0911,1812,54,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,1.6540,13.3351,0.5334,34829,1242,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,1.7300,13.4979,0.5399,34829,1242,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,25,barrier,3,1.7130,13.0778,0.5231,34829,1242,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,1,1.7220,1.2924,0.0517,1914,54,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,2,1.7820,1.3547,0.0542,1914,54,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,25,warm_primal_simplex,3,1.7380,1.3395,0.0536,1914,54,2.42305e+08,4907.68
norse_fixed_gurobi,Norse,gurobi,50,barrier,1,1.7940,26.8526,0.5371,69920,2438,2.42305e+08,4907.66
norse_fixed_gurobi,Norse,gurobi,50,barrier,2,1.7990,26.5067,0.5301,69920,2438,2.42305e+08,4907.66
norse_fixed_gurobi,Norse,gurobi,50,barrier,3,1.8140,26.3398,0.5268,69920,2438,2.42305e+08,4907.66
norse_fixed_gurobi,Norse,gurobi,50,warm_primal_simplex,1,1.7500,2.0988,0.0420,2257,54,2.42305e+08,4907.66
norse_fixed_gurobi,Norse,gurobi,50,warm_primal_simplex,2,1.7600,2.2435,0.0449,2257,54,2.42305e+08,4907.66
norse_fixed_gurobi,Norse,gurobi,50,warm_primal_simplex,3,1.7890,2.5617,0.0512,2257,54,2.42305e+08,4907.66
norse_fixed_gurobi,Norse,gurobi,100,barrier,1,1.6450,54.4853,0.5449,146195,4731,2.42305e+08,4907.65
norse_fixed_gurobi,Norse,gurobi,100,barrier,2,1.8100,54.0859,0.5409,146195,4731,2.42305e+08,4907.65
norse_fixed_gurobi,Norse,gurobi,100,barrier,3,1.8610,52.7345,0.5273,146195,4731,2.42305e+08,4907.65
norse_fixed_gurobi,Norse,gurobi,100,warm_primal_simplex,1,1.8390,3.9415,0.0394,2620,54,2.42305e+08,4907.66
norse_fixed_gurobi,Norse,gurobi,100,warm_primal_simplex,2,1.7790,4.0265,0.0403,2620,54,2.42305e+08,4907.66
norse_fixed_gurobi,Norse,gurobi,100,warm_primal_simplex,3,1.7600,3.5818,0.0358,2620,54,2.42305e+08,4907.66
