run_id,dataset,backend,n_alt,arm,repeat,k,status,solve_time_s,simplex_iters,barrier_iters,dobj,solver_maxmem_gb
norsetest,Norse,highs,2,cold_barrier,1,1,OPTIMAL,3.3575,7096,72,75.435912,NaN
norsetest,Norse,highs,2,cold_barrier,1,2,OPTIMAL,3.3632,7463,67,116.56805,NaN
norsetest,Norse,highs,2,cold_barrier,2,1,OPTIMAL,3.2563,7096,72,75.435912,NaN
norsetest,Norse,highs,2,cold_barrier,2,2,OPTIMAL,3.2936,7463,67,116.56805,NaN
norsetest,Norse,highs,2,cold_barrier,3,1,OPTIMAL,3.2632,7096,72,75.435912,NaN
norsetest,Norse,highs,2,cold_barrier,3,2,OPTIMAL,3.2899,7463,67,116.56805,NaN
norsetest,Norse,highs,2,warm_primal_simplex,1,1,OPTIMAL,3.1863,7096,72,75.435912,NaN
norsetest,Norse,highs,2,warm_primal_simplex,1,2,OPTIMAL,0.0166,9,0,116.56804,NaN
norsetest,Norse,highs,2,warm_primal_simplex,2,1,OPTIMAL,3.9028,10020,72,75.435912,NaN
norsetest,Norse,highs,2,warm_primal_simplex,2,2,OPTIMAL,0.0155,10,0,116.56804,NaN
norsetest,Norse,highs,2,warm_primal_simplex,3,1,OPTIMAL,3.8108,10020,72,75.435912,NaN
norsetest,Norse,highs,2,warm_primal_simplex,3,2,OPTIMAL,0.0135,10,0,116.56804,NaN
norsetest,Norse,highs,5,cold_barrier,1,1,OPTIMAL,3.8301,10020,72,75.435912,NaN
norsetest,Norse,highs,5,cold_barrier,1,2,OPTIMAL,4.7541,14168,67,116.56804,NaN
norsetest,Norse,highs,5,cold_barrier,1,3,OPTIMAL,4.8024,13812,77,157.69883,NaN
norsetest,Norse,highs,5,cold_barrier,1,4,OPTIMAL,5.1994,13472,92,198.82962,NaN
norsetest,Norse,highs,5,cold_barrier,1,5,OPTIMAL,4.9086,13438,83,239.96041,NaN
norsetest,Norse,highs,5,cold_barrier,2,1,OPTIMAL,3.8744,10020,72,75.435912,NaN
norsetest,Norse,highs,5,cold_barrier,2,2,OPTIMAL,4.6196,14168,67,116.56804,NaN
norsetest,Norse,highs,5,cold_barrier,2,3,OPTIMAL,4.8310,13812,77,157.69883,NaN
norsetest,Norse,highs,5,cold_barrier,2,4,OPTIMAL,5.1305,13472,92,198.82962,NaN
norsetest,Norse,highs,5,cold_barrier,2,5,OPTIMAL,4.8207,13438,83,239.96041,NaN
norsetest,Norse,highs,5,cold_barrier,3,1,OPTIMAL,3.8924,10020,72,75.435912,NaN
norsetest,Norse,highs,5,cold_barrier,3,2,OPTIMAL,4.6686,14168,67,116.56804,NaN
norsetest,Norse,highs,5,cold_barrier,3,3,OPTIMAL,4.8278,13812,77,157.69883,NaN
norsetest,Norse,highs,5,cold_barrier,3,4,OPTIMAL,5.1368,13472,92,198.82962,NaN
norsetest,Norse,highs,5,cold_barrier,3,5,OPTIMAL,4.8569,13438,83,239.96041,NaN
norsetest,Norse,highs,5,warm_primal_simplex,1,1,OPTIMAL,3.8356,10020,72,75.435912,NaN
norsetest,Norse,highs,5,warm_primal_simplex,1,2,OPTIMAL,0.0160,10,0,116.56804,NaN
norsetest,Norse,highs,5,warm_primal_simplex,1,3,OPTIMAL,0.0097,5,0,157.69883,NaN
norsetest,Norse,highs,5,warm_primal_simplex,1,4,OPTIMAL,0.0061,0,0,198.82962,NaN
norsetest,Norse,highs,5,warm_primal_simplex,1,5,OPTIMAL,0.0057,0,0,239.96041,NaN
norsetest,Norse,highs,5,warm_primal_simplex,2,1,OPTIMAL,3.8153,10020,72,75.435912,NaN
norsetest,Norse,highs,5,warm_primal_simplex,2,2,OPTIMAL,0.0133,10,0,116.56804,NaN
norsetest,Norse,highs,5,warm_primal_simplex,2,3,OPTIMAL,0.0067,5,0,157.69883,NaN
norsetest,Norse,highs,5,warm_primal_simplex,2,4,OPTIMAL,0.0053,0,0,198.82962,NaN
norsetest,Norse,highs,5,warm_primal_simplex,2,5,OPTIMAL,0.0044,0,0,239.96041,NaN
norsetest,Norse,highs,5,warm_primal_simplex,3,1,OPTIMAL,3.7722,10020,72,75.435912,NaN
norsetest,Norse,highs,5,warm_primal_simplex,3,2,OPTIMAL,0.0195,10,0,116.56804,NaN
norsetest,Norse,highs,5,warm_primal_simplex,3,3,OPTIMAL,0.0101,5,0,157.69883,NaN
norsetest,Norse,highs,5,warm_primal_simplex,3,4,OPTIMAL,0.0076,0,0,198.82962,NaN
norsetest,Norse,highs,5,warm_primal_simplex,3,5,OPTIMAL,0.0068,0,0,239.96041,NaN
norsetest,Norse,highs,10,cold_barrier,1,1,OPTIMAL,3.9862,10020,72,75.435912,NaN
norsetest,Norse,highs,10,cold_barrier,1,2,OPTIMAL,4.7246,14168,67,116.56804,NaN
norsetest,Norse,highs,10,cold_barrier,1,3,OPTIMAL,4.7805,13812,77,157.69883,NaN
norsetest,Norse,highs,10,cold_barrier,1,4,OPTIMAL,5.1333,13472,92,198.82962,NaN
norsetest,Norse,highs,10,cold_barrier,1,5,OPTIMAL,4.9070,13438,83,239.96041,NaN
norsetest,Norse,highs,10,cold_barrier,1,6,OPTIMAL,5.2976,13194,94,281.09119,NaN
norsetest,Norse,highs,10,cold_barrier,1,7,OPTIMAL,2.3355,4,65,322.22198,NaN
norsetest,Norse,highs,10,cold_barrier,1,8,OPTIMAL,2.2910,0,70,363.35277,NaN
norsetest,Norse,highs,10,cold_barrier,1,9,OPTIMAL,4.4873,13402,63,404.48355,NaN
norsetest,Norse,highs,10,cold_barrier,1,10,OPTIMAL,5.1141,12857,90,445.61434,NaN
norsetest,Norse,highs,10,cold_barrier,2,1,OPTIMAL,4.0790,10020,72,75.435912,NaN
norsetest,Norse,highs,10,cold_barrier,2,2,OPTIMAL,4.8054,14168,67,116.56804,NaN
norsetest,Norse,highs,10,cold_barrier,2,3,OPTIMAL,4.9051,13812,77,157.69883,NaN
norsetest,Norse,highs,10,cold_barrier,2,4,OPTIMAL,5.3612,13472,92,198.82962,NaN
norsetest,Norse,highs,10,cold_barrier,2,5,OPTIMAL,5.1088,13438,83,239.96041,NaN
norsetest,Norse,highs,10,cold_barrier,2,6,OPTIMAL,5.4623,13194,94,281.09119,NaN
norsetest,Norse,highs,10,cold_barrier,2,7,OPTIMAL,2.4104,4,65,322.22198,NaN
norsetest,Norse,highs,10,cold_barrier,2,8,OPTIMAL,2.3589,0,70,363.35277,NaN
norsetest,Norse,highs,10,cold_barrier,2,9,OPTIMAL,4.7020,13402,63,404.48355,NaN
norsetest,Norse,highs,10,cold_barrier,2,10,OPTIMAL,5.2014,12857,90,445.61434,NaN
norsetest,Norse,highs,10,cold_barrier,3,1,OPTIMAL,4.1312,10020,72,75.435912,NaN
norsetest,Norse,highs,10,cold_barrier,3,2,OPTIMAL,5.2333,14168,67,116.56804,NaN
norsetest,Norse,highs,10,cold_barrier,3,3,OPTIMAL,6.3732,13812,77,157.69883,NaN
norsetest,Norse,highs,10,cold_barrier,3,4,OPTIMAL,7.9950,13472,92,198.82962,NaN
norsetest,Norse,highs,10,cold_barrier,3,5,OPTIMAL,5.6121,13438,83,239.96041,NaN
norsetest,Norse,highs,10,cold_barrier,3,6,OPTIMAL,5.6309,13194,94,281.09119,NaN
norsetest,Norse,highs,10,cold_barrier,3,7,OPTIMAL,2.3854,4,65,322.22198,NaN
norsetest,Norse,highs,10,cold_barrier,3,8,OPTIMAL,2.3358,0,70,363.35277,NaN
norsetest,Norse,highs,10,cold_barrier,3,9,OPTIMAL,4.6196,13402,63,404.48355,NaN
norsetest,Norse,highs,10,cold_barrier,3,10,OPTIMAL,5.2724,12857,90,445.61434,NaN
norsetest,Norse,highs,10,warm_primal_simplex,1,1,OPTIMAL,4.5819,10020,72,75.435912,NaN
norsetest,Norse,highs,10,warm_primal_simplex,1,2,OPTIMAL,0.0148,10,0,116.56804,NaN
norsetest,Norse,highs,10,warm_primal_simplex,1,3,OPTIMAL,0.0076,5,0,157.69883,NaN
norsetest,Norse,highs,10,warm_primal_simplex,1,4,OPTIMAL,0.0052,0,0,198.82962,NaN
norsetest,Norse,highs,10,warm_primal_simplex,1,5,OPTIMAL,0.0047,0,0,239.96041,NaN
norsetest,Norse,highs,10,warm_primal_simplex,1,6,OPTIMAL,0.0042,0,0,281.09119,NaN
norsetest,Norse,highs,10,warm_primal_simplex,1,7,OPTIMAL,0.0046,0,0,322.22198,NaN
norsetest,Norse,highs,10,warm_primal_simplex,1,8,OPTIMAL,0.0044,0,0,363.35277,NaN
norsetest,Norse,highs,10,warm_primal_simplex,1,9,OPTIMAL,0.0045,0,0,404.48355,NaN
norsetest,Norse,highs,10,warm_primal_simplex,1,10,OPTIMAL,0.0044,0,0,445.61434,NaN
norsetest,Norse,highs,10,warm_primal_simplex,2,1,OPTIMAL,3.9355,10020,72,75.435912,NaN
norsetest,Norse,highs,10,warm_primal_simplex,2,2,OPTIMAL,0.0152,10,0,116.56804,NaN
norsetest,Norse,highs,10,warm_primal_simplex,2,3,OPTIMAL,0.0083,5,0,157.69883,NaN
norsetest,Norse,highs,10,warm_primal_simplex,2,4,OPTIMAL,0.0057,0,0,198.82962,NaN
norsetest,Norse,highs,10,warm_primal_simplex,2,5,OPTIMAL,0.0047,0,0,239.96041,NaN
norsetest,Norse,highs,10,warm_primal_simplex,2,6,OPTIMAL,0.0043,0,0,281.09119,NaN
norsetest,Norse,highs,10,warm_primal_simplex,2,7,OPTIMAL,0.0049,0,0,322.22198,NaN
norsetest,Norse,highs,10,warm_primal_simplex,2,8,OPTIMAL,0.0052,0,0,363.35277,NaN
norsetest,Norse,highs,10,warm_primal_simplex,2,9,OPTIMAL,0.0046,0,0,404.48355,NaN
norsetest,Norse,highs,10,warm_primal_simplex,2,10,OPTIMAL,0.0045,0,0,445.61434,NaN
norsetest,Norse,highs,10,warm_primal_simplex,3,1,OPTIMAL,3.9686,10020,72,75.435912,NaN
norsetest,Norse,highs,10,warm_primal_simplex,3,2,OPTIMAL,0.0149,10,0,116.56804,NaN
norsetest,Norse,highs,10,warm_primal_simplex,3,3,OPTIMAL,0.0076,5,0,157.69883,NaN
norsetest,Norse,highs,10,warm_primal_simplex,3,4,OPTIMAL,0.0053,0,0,198.82962,NaN
norsetest,Norse,highs,10,warm_primal_simplex,3,5,OPTIMAL,0.0047,0,0,239.96041,NaN
norsetest,Norse,highs,10,warm_primal_simplex,3,6,OPTIMAL,0.0048,0,0,281.09119,NaN
norsetest,Norse,highs,10,warm_primal_simplex,3,7,OPTIMAL,0.0046,0,0,322.22198,NaN
norsetest,Norse,highs,10,warm_primal_simplex,3,8,OPTIMAL,0.0044,0,0,363.35277,NaN
norsetest,Norse,highs,10,warm_primal_simplex,3,9,OPTIMAL,0.0048,0,0,404.48355,NaN
norsetest,Norse,highs,10,warm_primal_simplex,3,10,OPTIMAL,0.0043,0,0,445.61434,NaN
