direction,budget_idx,cost,diversity,solve_time
1,1,1.620543566e+11,109.8528529,440.5360
1,2,1.647109854e+11,65.55490066,264.1370
1,3,1.673676141e+11,32.77051572,230.1180
1,5,1.726808717e+11,1.420822246e-14,160.4320
1,6,1.753375005e+11,3.357422339e-11,120.7390
2,1,1.620543566e+11,110.4656925,295.2240
2,2,1.647109854e+11,65.83161863,479.6610
2,3,1.673676141e+11,32.98413251,538.3950
2,5,1.726808717e+11,1.75853307e-14,170.8780
2,6,1.753375005e+11,2.843827907e-10,129.7150
3,1,1.620543566e+11,110.4714756,282.7070
3,3,1.673676141e+11,32.98884072,408.9120
3,5,1.726808717e+11,5.280574661e-15,143.8740
3,6,1.753375005e+11,4.461356017e-11,116.9050
4,1,1.620543566e+11,110.4489442,363.1340
4,2,1.647109853e+11,65.8313895,476.3300
4,3,1.673676141e+11,32.98413813,571.6440
4,5,1.726808717e+11,1.179383996e-11,170.5660
4,6,1.753375005e+11,9.388027261e-12,135.3360
5,1,1.620543566e+11,110.4445473,406.4730
5,2,1.647109854e+11,65.83167709,475.6350
5,3,1.673676141e+11,32.98279738,569.2230
5,5,1.726808717e+11,3.75074461e-10,173.3360
5,6,1.753375005e+11,1.687345155e-11,134.8720
