step,variant,gamma,spores_cost,spores_dobj,walk_best_cost,n_dominated,cost_saving,frac_saving,walk_time_s
1,raw,0.0000,1743.22,0,1743.22,0,6.12165e-05,3.51169e-08,4.712
1,cost_aware_g0.020,0.0200,1743.22,0,1735.18,1,8.04056,0.00461247,4.184
1,cost_aware_g0.100,0.1000,1743.22,0,1735.18,1,8.04056,0.00461248,3.785
1,lexicographic,0.0000,1743.22,0,1735.18,1,8.04119,0.00461283,5.067
2,raw,0.0000,1743.22,1.8445,1743.22,0,-4.49898e-07,-2.58084e-10,5.744
2,cost_aware_g0.020,0.0200,1743.22,1.8445,1743.22,0,-2.17177e-07,-1.24584e-10,7.508
2,cost_aware_g0.100,0.1000,1743.22,1.8445,1743.22,0,-2.58638e-09,-1.48368e-12,5.493
2,lexicographic,0.0000,1743.22,1.8445,1743.22,1,0.00213778,1.22634e-06,6.912
3,raw,0.0000,1743.22,3.35722,1743.22,0,-1.44769e-08,-8.30467e-12,6.974
3,cost_aware_g0.020,0.0200,1743.22,3.35722,1743.22,0,-8.04039e-09,-4.61237e-12,6.920
3,cost_aware_g0.100,0.1000,1743.22,3.35722,1743.22,0,3.86788e-08,2.21881e-11,7.020
3,lexicographic,0.0000,1743.22,3.35722,1743.22,1,0.00435132,2.49614e-06,8.871
